full,abbr
Percent of students who received a Pell Grant at the institution and who completed in 8 years at original institution,PELL_COMP_ORIG_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 8 years,PELL_COMP_4YR_TRANS_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 8 years,PELL_COMP_2YR_TRANS_YR8_RT
Percent of students who received a Pell Grant at the institution and withdrew from original institution within 8 years,PELL_WDRAW_ORIG_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 8 years,PELL_WDRAW_4YR_TRANS_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 8 years,PELL_WDRAW_2YR_TRANS_YR8_RT
Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 8 years,PELL_ENRL_ORIG_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 8 years,PELL_ENRL_4YR_TRANS_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 8 years,PELL_ENRL_2YR_TRANS_YR8_RT
Percent of students who received a Pell Grant at the institution and with status unknown within 8 years at original institution,PELL_UNKN_ORIG_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years,PELL_UNKN_4YR_TRANS_YR8_RT
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years,PELL_UNKN_2YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and who died within 8 years at original institution,NOPELL_DEATH_YR8_RT
Percent of students who never received a Pell Grant at the institution and who completed in 8 years at original institution,NOPELL_COMP_ORIG_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 8 years,NOPELL_COMP_4YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 8 years,NOPELL_COMP_2YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 8 years,NOPELL_WDRAW_ORIG_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 8 years,NOPELL_WDRAW_4YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 8 years,NOPELL_WDRAW_2YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 8 years,NOPELL_ENRL_ORIG_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 8 years,NOPELL_ENRL_4YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 8 years,NOPELL_ENRL_2YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and with status unknown within 8 years at original institution,NOPELL_UNKN_ORIG_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years,NOPELL_UNKN_4YR_TRANS_YR8_RT
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years,NOPELL_UNKN_2YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and who died within 8 years at original institution,LOAN_DEATH_YR8_RT
Percent of students who received a federal loan at the institution and who completed in 8 years at original institution,LOAN_COMP_ORIG_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 8 years,LOAN_COMP_4YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 8 years,LOAN_COMP_2YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and withdrew from original institution within 8 years,LOAN_WDRAW_ORIG_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 8 years,LOAN_WDRAW_4YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 8 years,LOAN_WDRAW_2YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 8 years,LOAN_ENRL_ORIG_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 8 years,LOAN_ENRL_4YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 8 years,LOAN_ENRL_2YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and with status unknown within 8 years at original institution,LOAN_UNKN_ORIG_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years,LOAN_UNKN_4YR_TRANS_YR8_RT
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years,LOAN_UNKN_2YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and who died within 8 years at original institution,NOLOAN_DEATH_YR8_RT
Percent of students who never received a federal loan at the institution and who completed in 8 years at original institution,NOLOAN_COMP_ORIG_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 8 years,NOLOAN_COMP_4YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 8 years,NOLOAN_COMP_2YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and withdrew from original institution within 8 years,NOLOAN_WDRAW_ORIG_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 8 years,NOLOAN_WDRAW_4YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 8 years,NOLOAN_WDRAW_2YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 8 years,NOLOAN_ENRL_ORIG_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 8 years,NOLOAN_ENRL_4YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 8 years,NOLOAN_ENRL_2YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and with status unknown within 8 years at original institution,NOLOAN_UNKN_ORIG_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years,NOLOAN_UNKN_4YR_TRANS_YR8_RT
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years,NOLOAN_UNKN_2YR_TRANS_YR8_RT
Percent of first-generation students who died within 8 years at original institution,FIRSTGEN_DEATH_YR8_RT
Percent of first-generation students who completed within 8 years at original institution,FIRSTGEN_COMP_ORIG_YR8_RT
Percent of first-generation students who transferred to a 4-year institution and completed within 8 years,FIRSTGEN_COMP_4YR_TRANS_YR8_RT
Percent of first-generation students who transferred to a 2-year institution and completed within 8 years,FIRSTGEN_COMP_2YR_TRANS_YR8_RT
Percent of first-generation students withdrawn from original institution within 8 years,FIRSTGEN_WDRAW_ORIG_YR8_RT
Percent of first-generation students who transferred to a 4-year institution and withdrew within 8 years,FIRSTGEN_WDRAW_4YR_TRANS_YR8_RT
Percent of first-generation students who transferred to a 2-year institution and withdrew within 8 years,FIRSTGEN_WDRAW_2YR_TRANS_YR8_RT
Percent of first-generation students who were still enrolled at original institution within 8 years,FIRSTGEN_ENRL_ORIG_YR8_RT
Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 8 years,FIRSTGEN_ENRL_4YR_TRANS_YR8_RT
Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 8 years,FIRSTGEN_ENRL_2YR_TRANS_YR8_RT
Percent of first-generation students with status unknown within 8 years at original institution,FIRSTGEN_UNKN_ORIG_YR8_RT
Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 8 years,FIRSTGEN_UNKN_4YR_TRANS_YR8_RT
Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 8 years,FIRSTGEN_UNKN_2YR_TRANS_YR8_RT
Percent of not-first-generation students who died within 8 years at original institution,NOT1STGEN_DEATH_YR8_RT
Percent of not-first-generation students who completed within 8 years at original institution,NOT1STGEN_COMP_ORIG_YR8_RT
Percent of not-first-generation students who transferred to a 4-year institution and completed within 8 years,NOT1STGEN_COMP_4YR_TRANS_YR8_RT
Percent of not-first-generation students who transferred to a 2-year institution and completed within 8 years,NOT1STGEN_COMP_2YR_TRANS_YR8_RT
Percent of not-first-generation students withdrawn from original institution within 8 years,NOT1STGEN_WDRAW_ORIG_YR8_RT
Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 8 years,NOT1STGEN_WDRAW_4YR_TRANS_YR8_RT
Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 8 years,NOT1STGEN_WDRAW_2YR_TRANS_YR8_RT
Percent of not-first-generation students who were still enrolled at original institution within 8 years,NOT1STGEN_ENRL_ORIG_YR8_RT
Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 8 years,NOT1STGEN_ENRL_4YR_TRANS_YR8_RT
Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 8 years,NOT1STGEN_ENRL_2YR_TRANS_YR8_RT
Percent of not-first-generation students with status unknown within 8 years at original institution,NOT1STGEN_UNKN_ORIG_YR8_RT
Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 8 years,NOT1STGEN_UNKN_4YR_TRANS_YR8_RT
Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 8 years,NOT1STGEN_UNKN_2YR_TRANS_YR8_RT
"Fraction of repayment cohort who are not in default, and with loan balances that have declined one year since entering repayment, excluding enrolled and military deferment from calculation. (Rolling averages)",RPY_1YR_RT
One-year repayment rate for completers,COMPL_RPY_1YR_RT
One-year repayment rate for non-completers,NONCOM_RPY_1YR_RT
"One-year repayment rate by family income ($0-30,000)",LO_INC_RPY_1YR_RT
"One-year repayment rate by family income ($30,000-75,000)",MD_INC_RPY_1YR_RT
"One-year repayment rate by family income ($75,000+)",HI_INC_RPY_1YR_RT
One-year repayment rate for dependent students,DEP_RPY_1YR_RT
One-year repayment rate for independent students,IND_RPY_1YR_RT
One-year repayment rate for students who received a Pell grant while at the school,PELL_RPY_1YR_RT
One-year repayment rate for students who never received a Pell grant while at school,NOPELL_RPY_1YR_RT
One-year repayment rate for females,FEMALE_RPY_1YR_RT
One-year repayment rate for males,MALE_RPY_1YR_RT
One-year repayment rate for first-generation students,FIRSTGEN_RPY_1YR_RT
One-year repayment rate for students who are not first-generation,NOTFIRSTGEN_RPY_1YR_RT
"Fraction of repayment cohort who are not in default, and with loan balances that have declined three years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)",RPY_3YR_RT
Three-year repayment rate for completers,COMPL_RPY_3YR_RT
Three-year repayment rate for non-completers,NONCOM_RPY_3YR_RT
"Three-year repayment rate by family income ($0-30,000)",LO_INC_RPY_3YR_RT
"Three-year repayment rate by family income ($30,000-75,000)",MD_INC_RPY_3YR_RT
"Three-year repayment rate by family income ($75,000+)",HI_INC_RPY_3YR_RT
Three-year repayment rate for dependent students,DEP_RPY_3YR_RT
Three-year repayment rate for independent students,IND_RPY_3YR_RT
Three-year repayment rate for students who received a Pell grant while at the school,PELL_RPY_3YR_RT
Three-year repayment rate for students who never received a Pell grant while at school,NOPELL_RPY_3YR_RT
Three-year repayment rate for females,FEMALE_RPY_3YR_RT
Three-year repayment rate for males,MALE_RPY_3YR_RT
Three-year repayment rate for first-generation students,FIRSTGEN_RPY_3YR_RT
Three-year repayment rate for students who are not first-generation,NOTFIRSTGEN_RPY_3YR_RT
"Fraction of repayment cohort who are not in default, and with loan balances that have declined five years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)",RPY_5YR_RT
Five-year repayment rate for completers,COMPL_RPY_5YR_RT
Five-year repayment rate for non-completers,NONCOM_RPY_5YR_RT
"Five-year repayment rate by family income ($0-30,000)",LO_INC_RPY_5YR_RT
"Five-year repayment rate by family income ($30,000-75,000)",MD_INC_RPY_5YR_RT
"Five-year repayment rate by family income ($75,000+)",HI_INC_RPY_5YR_RT
Five-year repayment rate for dependent students,DEP_RPY_5YR_RT
Five-year repayment rate for independent students,IND_RPY_5YR_RT
Five-year repayment rate for students who received a Pell grant while at the school,PELL_RPY_5YR_RT
Five-year repayment rate for students who never received a Pell grant while at school,NOPELL_RPY_5YR_RT
Five-year repayment rate for females,FEMALE_RPY_5YR_RT
Five-year repayment rate for males,MALE_RPY_5YR_RT
Five-year repayment rate for first-generation students,FIRSTGEN_RPY_5YR_RT
Five-year repayment rate for students who are not first-generation,NOTFIRSTGEN_RPY_5YR_RT
"Fraction of repayment cohort who are not in default, and with loan balances that have declined seven years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)",RPY_7YR_RT
Seven-year repayment rate for completers,COMPL_RPY_7YR_RT
Seven-year repayment rate for non-completers,NONCOM_RPY_7YR_RT
"Seven-year repayment rate by family income ($0-30,000)",LO_INC_RPY_7YR_RT
"Seven-year repayment rate by family income ($30,000-75,000)",MD_INC_RPY_7YR_RT
"Seven-year repayment rate by family income ($75,000+)",HI_INC_RPY_7YR_RT
Seven-year repayment rate for dependent students,DEP_RPY_7YR_RT
Seven-year repayment rate for independent students,IND_RPY_7YR_RT
Seven-year repayment rate for students who received a Pell grant while at the school,PELL_RPY_7YR_RT
Seven-year repayment rate for students who never received a Pell grant while at school,NOPELL_RPY_7YR_RT
Seven-year repayment rate for females,FEMALE_RPY_7YR_RT
Seven-year repayment rate for males,MALE_RPY_7YR_RT
Seven-year repayment rate for first-generation students,FIRSTGEN_RPY_7YR_RT
Seven-year repayment rate for students who are not first-generation,NOTFIRSTGEN_RPY_7YR_RT
"Percentage of aided students whose family income is between $0-$30,000",INC_PCT_LO
Percentage of students who are financially independent,DEP_STAT_PCT_IND
"Percentage of students who are financially independent and have family incomes between $0-30,000",IND_INC_PCT_LO
"Percentage of students who are financially dependent and have family incomes between $0-30,000",DEP_INC_PCT_LO
Percentage first-generation students,PAR_ED_PCT_1STGEN
"Aided students with family incomes between $30,001-$48,000 in nominal dollars",INC_PCT_M1
"Aided students with family incomes between $48,001-$75,000 in nominal dollars",INC_PCT_M2
"Aided students with family incomes between $75,001-$110,000 in nominal dollars",INC_PCT_H1
"Aided students with family incomes between $110,001+ in nominal dollars",INC_PCT_H2
"Dependent students with family incomes between $30,001-$48,000 in nominal dollars",DEP_INC_PCT_M1
"Dependent students with family incomes between $48,001-$75,000 in nominal dollars",DEP_INC_PCT_M2
"Dependent students with family incomes between $75,001-$110,000 in nominal dollars",DEP_INC_PCT_H1
"Dependent students with family incomes between $110,001+ in nominal dollars",DEP_INC_PCT_H2
"Independent students with family incomes between $30,001-$48,000 in nominal dollars",IND_INC_PCT_M1
"Independent students with family incomes between $48,001-$75,000 in nominal dollars",IND_INC_PCT_M2
"Independent students with family incomes between $75,001-$110,000 in nominal dollars",IND_INC_PCT_H1
"Independent students with family incomes between $110,001+ in nominal dollars",IND_INC_PCT_H2
Percent of students whose parents' highest educational level is middle school,PAR_ED_PCT_MS
Percent of students whose parents' highest educational level is high school,PAR_ED_PCT_HS
Percent of students whose parents' highest educational level was is some form of postsecondary education,PAR_ED_PCT_PS
Number of applications is greater than or equal to 2,APPL_SCH_PCT_GE2
Number of applications is greater than or equal to 3,APPL_SCH_PCT_GE3
Number of applications is greater than or equal to 4,APPL_SCH_PCT_GE4
Number of applications is greater than or equal to 5,APPL_SCH_PCT_GE5
Average family income of dependent students in real 2015 dollars.,DEP_INC_AVG
Average family income of independent students in real 2015 dollars.,IND_INC_AVG
Number of students in overall 2-year completion cohort,OVERALL_YR2_N
"Number of low-income (less than $30,000 in nominal family income) students in overall 2-year completion cohort",LO_INC_YR2_N
"Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 2-year completion cohort",MD_INC_YR2_N
"Number of high-income (above $75,000 in nominal family income) students in overall 2-year completion cohort",HI_INC_YR2_N
Number of dependent students in overall 2-year completion cohort,DEP_YR2_N
Number of independent students in overall 2-year completion cohort,IND_YR2_N
Number of female students in overall 2-year completion cohort,FEMALE_YR2_N
Number of male students in overall 2-year completion cohort,MALE_YR2_N
Number of Pell students in overall 2-year completion cohort,PELL_YR2_N
Number of no-Pell students in overall 2-year completion cohort,NOPELL_YR2_N
Number of loan students in overall 2-year completion cohort,LOAN_YR2_N
Number of no-loan students in overall 2-year completion cohort,NOLOAN_YR2_N
Number of first-generation students in overall 2-year completion cohort,FIRSTGEN_YR2_N
Number of not-first-generation students in overall 2-year completion cohort,NOT1STGEN_YR2_N
Number of students in overall 3-year completion cohort,OVERALL_YR3_N
"Number of low-income (less than $30,000 in nominal family income) students in overall 3-year completion cohort",LO_INC_YR3_N
"Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 3-year completion cohort",MD_INC_YR3_N
"Number of high-income (above $75,000 in nominal family income) students in overall 3-year completion cohort",HI_INC_YR3_N
Number of dependent students in overall 3-year completion cohort,DEP_YR3_N
Number of independent students in overall 3-year completion cohort,IND_YR3_N
Number of female students in overall 3-year completion cohort,FEMALE_YR3_N
Number of male students in overall 3-year completion cohort,MALE_YR3_N
Number of Pell students in overall 3-year completion cohort,PELL_YR3_N
Number of no-Pell students in overall 3-year completion cohort,NOPELL_YR3_N
Number of loan students in overall 3-year completion cohort,LOAN_YR3_N
Number of no-loan students in overall 3-year completion cohort,NOLOAN_YR3_N
Number of first-generation students in overall 3-year completion cohort,FIRSTGEN_YR3_N
Number of not-first-generation students in overall 3-year completion cohort,NOT1STGEN_YR3_N
Number of students in overall 4-year completion cohort,OVERALL_YR4_N
"Number of low-income (less than $30,000 in nominal family income) students in overall 4-year completion cohort",LO_INC_YR4_N
"Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 4-year completion cohort",MD_INC_YR4_N
"Number of high-income (above $75,000 in nominal family income) students in overall 4-year completion cohort",HI_INC_YR4_N
Number of dependent students in overall 4-year completion cohort,DEP_YR4_N
Number of independent students in overall 4-year completion cohort,IND_YR4_N
Number of female students in overall 4-year completion cohort,FEMALE_YR4_N
Number of male students in overall 4-year completion cohort,MALE_YR4_N
Number of Pell students in overall 4-year completion cohort,PELL_YR4_N
Number of no-Pell students in overall 4-year completion cohort,NOPELL_YR4_N
Number of loan students in overall 4-year completion cohort,LOAN_YR4_N
Number of no-loan students in overall 4-year completion cohort,NOLOAN_YR4_N
Number of first-generation students in overall 4-year completion cohort,FIRSTGEN_YR4_N
Number of not-first-generation students in overall 4-year completion cohort,NOT1STGEN_YR4_N
Number of students in overall 6-year completion cohort,OVERALL_YR6_N
"Number of low-income (less than $30,000 in nominal family income) students in overall 6-year completion cohort",LO_INC_YR6_N
"Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 6-year completion cohort",MD_INC_YR6_N
"Number of high-income (above $75,000 in nominal family income) students in overall 6-year completion cohort",HI_INC_YR6_N
Number of dependent students in overall 6-year completion cohort,DEP_YR6_N
Number of independent students in overall 6-year completion cohort,IND_YR6_N
Number of female students in overall 6-year completion cohort,FEMALE_YR6_N
Number of male students in overall 6-year completion cohort,MALE_YR6_N
Number of Pell students in overall 6-year completion cohort,PELL_YR6_N
Number of no-Pell students in overall 6-year completion cohort,NOPELL_YR6_N
Number of loan students in overall 6-year completion cohort,LOAN_YR6_N
Number of no-loan students in overall 6-year completion cohort,NOLOAN_YR6_N
Number of first-generation students in overall 6-year completion cohort,FIRSTGEN_YR6_N
Number of not-first-generation students in overall 6-year completion cohort,NOT1STGEN_YR6_N
Number of students in overall 8-year completion cohort,OVERALL_YR8_N
"Number of low-income (less than $30,000 in nominal family income) students in overall 8-year completion cohort",LO_INC_YR8_N
"Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 8-year completion cohort",MD_INC_YR8_N
"Number of high-income (above $75,000 in nominal family income) students in overall 8-year completion cohort",HI_INC_YR8_N
Number of dependent students in overall 8-year completion cohort,DEP_YR8_N
Number of independent students in overall 8-year completion cohort,IND_YR8_N
Number of female students in overall 8-year completion cohort,FEMALE_YR8_N
Number of male students in overall 8-year completion cohort,MALE_YR8_N
Number of Pell students in overall 8-year completion cohort,PELL_YR8_N
Number of no-Pell students in overall 8-year completion cohort,NOPELL_YR8_N
Number of loan students in overall 8-year completion cohort,LOAN_YR8_N
Number of no-loan students in overall 8-year completion cohort,NOLOAN_YR8_N
Number of first-generation students in overall 8-year completion cohort,FIRSTGEN_YR8_N
Number of not-first-generation students in overall 8-year completion cohort,NOT1STGEN_YR8_N
The median original amount of the loan principal upon entering repayment,DEBT_MDN
The median debt for students who have completed,GRAD_DEBT_MDN
The median debt for students who have not completed,WDRAW_DEBT_MDN
"The median debt for students with family income between $0-$30,000",LO_INC_DEBT_MDN
"The median debt for students with family income between $30,001-$75,000",MD_INC_DEBT_MDN
"The median debt for students with family income $75,001+",HI_INC_DEBT_MDN
The median debt for dependent students,DEP_DEBT_MDN
The median debt for independent students,IND_DEBT_MDN
The median debt for Pell students,PELL_DEBT_MDN
The median debt for no-Pell students,NOPELL_DEBT_MDN
The median debt for female students,FEMALE_DEBT_MDN
The median debt for male students,MALE_DEBT_MDN
The median debt for first-generation students,FIRSTGEN_DEBT_MDN
The median debt for not-first-generation students,NOTFIRSTGEN_DEBT_MDN
The number of students in the median debt cohort,DEBT_N
The number of students in the median debt completers cohort,GRAD_DEBT_N
The number of students in the median debt withdrawn cohort,WDRAW_DEBT_N
"The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort",LO_INC_DEBT_N
"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort",MD_INC_DEBT_N
"The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort",HI_INC_DEBT_N
The number of students in the median debt dependent students cohort,DEP_DEBT_N
The number of students in the median debt independent students cohort,IND_DEBT_N
The number of students in the median debt Pell students cohort,PELL_DEBT_N
The number of students in the median debt no-Pell students cohort,NOPELL_DEBT_N
The number of students in the median debt female students cohort,FEMALE_DEBT_N
The number of students in the median debt male students cohort,MALE_DEBT_N
The number of students in the median debt first-generation students cohort,FIRSTGEN_DEBT_N
The number of students in the median debt not-first-generation students cohort,NOTFIRSTGEN_DEBT_N
Median loan debt of completers in monthly payments (10-year amortization plan),GRAD_DEBT_MDN10YR
Number of students in the cumulative loan debt cohort,CUML_DEBT_N
Cumulative loan debt at the 90th percentile,CUML_DEBT_P90
Cumulative loan debt at the 75th percentile,CUML_DEBT_P75
Cumulative loan debt at the 25th percentile,CUML_DEBT_P25
Cumulative loan debt at the 10th percentile,CUML_DEBT_P10
Number of students in the family income cohort,INC_N
Number of students in the family income dependent students cohort,DEP_INC_N
Number of students in the family income independent students cohort,IND_INC_N
Number of students in the disaggregation with valid dependency status,DEP_STAT_N
Number of students in the parents' education level cohort,PAR_ED_N
Number of students in the FAFSA applications cohort,APPL_SCH_N
Median Date Student Enters Repayment,REPAY_DT_MDN
Median Date Student Separated,SEPAR_DT_MDN
Number of students in the cohort for date students enter repayment,REPAY_DT_N
Number of students in the cohort for date students separated from the school,SEPAR_DT_N
Number of students in the 1-year repayment rate cohort,RPY_1YR_N
Number of students in the 1-year repayment rate of completers cohort,COMPL_RPY_1YR_N
Number of students in the 1-year repayment rate of non-completers cohort,NONCOM_RPY_1YR_N
"Number of students in the 1-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",LO_INC_RPY_1YR_N
"Number of students in the 1-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",MD_INC_RPY_1YR_N
"Number of students in the 1-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",HI_INC_RPY_1YR_N
Number of students in the 1-year repayment rate of dependent students cohort,DEP_RPY_1YR_N
Number of students in the 1-year repayment rate of independent students cohort,IND_RPY_1YR_N
Number of students in the 1-year repayment rate of Pell students cohort,PELL_RPY_1YR_N
Number of students in the 1-year repayment rate of no-Pell students cohort,NOPELL_RPY_1YR_N
Number of students in the 1-year repayment rate of female students cohort,FEMALE_RPY_1YR_N
Number of students in the 1-year repayment rate of male students cohort,MALE_RPY_1YR_N
Number of students in the 1-year repayment rate of first-generation students cohort,FIRSTGEN_RPY_1YR_N
Number of students in the 1-year repayment rate of not-first-generation students cohort,NOTFIRSTGEN_RPY_1YR_N
Number of students in the 3-year repayment rate cohort,RPY_3YR_N
Number of students in the 3-year repayment rate of completers cohort,COMPL_RPY_3YR_N
Number of students in the 3-year repayment rate of non-completers cohort,NONCOM_RPY_3YR_N
"Number of students in the 3-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",LO_INC_RPY_3YR_N
"Number of students in the 3-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",MD_INC_RPY_3YR_N
"Number of students in the 3-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",HI_INC_RPY_3YR_N
Number of students in the 3-year repayment rate of dependent students cohort,DEP_RPY_3YR_N
Number of students in the 3-year repayment rate of independent students cohort,IND_RPY_3YR_N
Number of students in the 3-year repayment rate of Pell students cohort,PELL_RPY_3YR_N
Number of students in the 3-year repayment rate of no-Pell students cohort,NOPELL_RPY_3YR_N
Number of students in the 3-year repayment rate of female students cohort,FEMALE_RPY_3YR_N
Number of students in the 3-year repayment rate of male students cohort,MALE_RPY_3YR_N
Number of students in the 3-year repayment rate of first-generation students cohort,FIRSTGEN_RPY_3YR_N
Number of students in the 3-year repayment rate of not-first-generation students cohort,NOTFIRSTGEN_RPY_3YR_N
Number of students in the 5-year repayment rate cohort,RPY_5YR_N
Number of students in the 5-year repayment rate of completers cohort,COMPL_RPY_5YR_N
Number of students in the 5-year repayment rate of non-completers cohort,NONCOM_RPY_5YR_N
"Number of students in the 5-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",LO_INC_RPY_5YR_N
"Number of students in the 5-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",MD_INC_RPY_5YR_N
"Number of students in the 5-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",HI_INC_RPY_5YR_N
Number of students in the 5-year repayment rate of dependent students cohort,DEP_RPY_5YR_N
Number of students in the 5-year repayment rate of independent students cohort,IND_RPY_5YR_N
Number of students in the 5-year repayment rate of Pell students cohort,PELL_RPY_5YR_N
Number of students in the 5-year repayment rate of no-Pell students cohort,NOPELL_RPY_5YR_N
Number of students in the 5-year repayment rate of female students cohort,FEMALE_RPY_5YR_N
Number of students in the 5-year repayment rate of male students cohort,MALE_RPY_5YR_N
Number of students in the 5-year repayment rate of first-generation students cohort,FIRSTGEN_RPY_5YR_N
Number of students in the 5-year repayment rate of not-first-generation students cohort,NOTFIRSTGEN_RPY_5YR_N
Number of students in the 7-year repayment rate cohort,RPY_7YR_N
Number of students in the 7-year repayment rate of completers cohort,COMPL_RPY_7YR_N
Number of students in the 7-year repayment rate of non-completers cohort,NONCOM_RPY_7YR_N
"Number of students in the 7-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",LO_INC_RPY_7YR_N
"Number of students in the 7-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",MD_INC_RPY_7YR_N
"Number of students in the 7-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",HI_INC_RPY_7YR_N
Number of students in the 7-year repayment rate of dependent students cohort,DEP_RPY_7YR_N
Number of students in the 7-year repayment rate of independent students cohort,IND_RPY_7YR_N
Number of students in the 7-year repayment rate of Pell students cohort,PELL_RPY_7YR_N
Number of students in the 7-year repayment rate of no-Pell students cohort,NOPELL_RPY_7YR_N
Number of students in the 7-year repayment rate of female students cohort,FEMALE_RPY_7YR_N
Number of students in the 7-year repayment rate of male students cohort,MALE_RPY_7YR_N
Number of students in the 7-year repayment rate of first-generation students cohort,FIRSTGEN_RPY_7YR_N
Number of students in the 7-year repayment rate of not-first-generation students cohort,NOTFIRSTGEN_RPY_7YR_N
Count of students in the earnings cohort,COUNT_ED
